html_id,is_emo,is_arg,is_other,trn_val
398817,0,0,0,trn
727174,0,0,0,trn
661282,0,0,0,trn
445147,0,0,1,trn
988925,1,0,0,trn
616131,0,0,1,trn
878376,0,0,1,trn
396993,0,0,1,trn
600281,0,0,1,trn
805668,0,0,0,trn
618477,0,0,1,trn
568357,0,0,0,trn
518410,0,0,1,trn
620810,0,0,0,trn
770458,0,0,0,trn
170393,0,0,0,trn
167633,0,0,0,trn
349096,0,0,1,trn
61430,0,0,0,trn
217459,0,0,1,trn
568753,0,0,1,trn
291143,0,0,0,trn
62524,1,0,0,trn
231347,0,0,1,trn
49369,0,0,1,trn
227719,0,0,0,trn
95828,1,0,0,trn
469714,0,0,0,trn
310375,0,0,0,trn
686195,0,0,0,trn
396683,0,0,0,trn
628979,0,0,0,trn
787495,0,0,0,trn
349380,0,0,1,trn
293555,0,0,1,trn
349677,0,0,0,trn
819773,0,0,0,trn
774278,1,0,0,trn
266664,0,0,1,trn
700268,0,0,0,trn
375569,0,0,0,trn
939006,0,0,0,trn
738554,1,0,0,trn
539482,0,0,1,trn
412023,0,0,1,trn
324655,1,0,0,trn
99205,0,0,0,trn
982104,0,0,0,trn
731913,0,0,0,trn
12094,0,0,1,trn
707256,0,0,0,trn
253634,0,0,1,trn
597017,0,0,0,trn
469701,0,0,1,trn
486653,0,0,0,trn
632469,1,0,0,trn
863997,0,0,0,trn
138964,0,0,0,trn
983698,0,0,1,trn
168423,0,0,1,trn
723598,0,0,1,trn
557756,0,0,0,trn
246463,0,0,0,trn
417578,0,0,1,trn
627018,0,0,0,trn
46538,0,0,1,trn
451447,0,0,1,trn
117532,0,0,0,trn
729180,0,0,0,trn
755114,0,0,1,trn
371861,1,0,0,trn
446521,0,0,1,trn
668452,0,0,0,trn
269524,0,0,0,trn
519049,0,0,0,trn
660646,1,0,0,trn
710319,0,1,0,trn
340733,0,0,1,trn
808029,0,0,0,trn
180871,0,0,1,trn
165298,0,0,0,trn
75363,0,1,0,trn
369752,0,0,0,trn
185490,0,0,1,trn
543616,0,0,1,trn
602599,1,0,0,trn
337676,0,0,1,trn
398829,0,0,0,trn
865433,0,0,0,trn
569619,0,0,1,trn
591658,0,0,1,trn
225488,0,0,0,trn
571256,0,0,0,trn
232240,0,0,1,trn
921288,1,0,0,trn
892300,0,0,1,trn
30357,1,0,0,trn
788397,0,0,1,trn
611638,0,0,1,trn
13000,0,0,0,trn
177152,0,0,1,trn
589432,0,0,0,trn
323021,0,0,1,trn
989037,0,0,0,trn
61350,0,0,0,trn
737615,0,0,0,trn
478632,0,0,0,trn
671354,0,0,1,trn
836857,0,0,1,trn
331444,0,0,1,trn
512534,0,0,0,trn
38798,0,0,1,trn
582569,0,0,1,trn
174386,0,0,0,trn
22283,0,0,0,trn
844798,0,0,1,trn
764455,0,0,0,trn
608043,0,0,1,trn
201054,0,1,0,trn
378034,1,0,0,trn
881210,0,0,1,trn
495923,1,1,0,trn
277948,0,0,0,trn
730942,1,1,0,trn
139358,0,0,0,trn
236356,0,0,0,trn
121958,0,0,1,trn
675114,1,1,0,trn
224671,0,0,0,trn
432955,0,0,0,trn
617472,0,0,1,trn
793847,0,0,1,trn
597420,0,0,0,trn
623936,0,0,1,trn
362376,0,0,1,trn
473143,0,0,0,trn
454171,0,0,1,trn
798613,0,0,0,trn
91149,0,0,1,trn
589285,1,0,0,trn
253255,0,0,1,trn
34618,0,0,1,trn
419110,1,0,0,trn
126198,1,0,0,trn
484939,0,0,1,trn
319452,0,0,1,trn
653637,0,0,1,trn
254991,0,0,1,trn
356100,1,0,0,trn
994113,0,0,1,trn
352307,0,0,1,trn
552780,0,0,0,trn
74510,1,0,0,trn
638294,0,0,1,trn
233469,0,0,1,trn
263296,1,0,0,trn
936249,0,0,1,trn
580360,1,0,0,trn
165746,0,0,1,trn
448223,0,0,1,trn
771117,0,0,0,trn
754855,0,0,0,trn
923128,0,0,0,trn
526589,0,0,1,trn
68851,0,0,1,trn
588177,1,0,0,trn
122674,0,0,0,trn
761937,0,0,0,trn
67895,0,0,1,trn
567039,0,0,0,trn
778318,0,0,1,trn
280298,0,0,0,trn
665359,1,0,0,trn
454377,0,0,1,trn
566775,0,0,1,trn
109567,1,0,0,trn
957816,1,0,0,trn
468922,0,0,1,trn
440606,0,0,0,trn
126844,0,0,0,trn
74714,0,0,1,trn
573956,0,0,1,trn
249208,0,0,1,trn
37952,0,0,0,trn
910791,1,0,0,trn
529302,0,0,0,trn
155504,0,0,0,trn
202336,0,0,0,trn
72179,0,0,1,trn
382580,0,0,1,trn
881413,0,0,0,trn
590794,0,0,0,trn
364521,0,0,1,trn
538345,0,0,0,trn
22992,0,0,1,trn
747557,0,0,1,trn
106289,0,0,1,trn
364656,0,0,0,trn
545747,0,0,1,trn
739542,0,0,0,trn
336493,0,0,1,trn
338835,0,0,0,trn
907996,0,0,1,trn
872940,0,0,1,trn
687923,1,0,0,trn
733185,0,0,0,trn
674688,1,0,0,trn
182879,0,0,0,trn
81283,1,0,0,trn
727065,0,0,1,trn
671441,0,0,0,trn
26711,1,0,0,trn
765820,0,0,1,trn
302625,1,1,0,trn
112657,0,0,1,trn
556709,0,0,0,trn
286507,0,0,0,trn
445454,0,0,0,trn
799398,0,0,0,trn
753557,0,0,0,trn
712651,1,0,0,trn
